epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6782,1.43553,0.82099,1.27014,0.9696,0.93828,0.96899,0.60033,1.23816,0.70086,1.16599,0.000649573,0.000649573,0.000649573
2,84.2289,1.40662,0.76694,1.26244,1,0.90494,0.98371,0.65199,1.15363,0.60167,1.14532,0.00118593,0.00118593,0.00118593
3,109.954,1.45352,0.77138,1.28679,0.96472,0.94118,0.95694,0.45343,1.82715,0.79425,1.4489,0.00159029,0.00159029,0.00159029
4,149.436,1.45429,0.7759,1.28055,0.96307,0.94118,0.98623,0.63679,1.33,0.62246,1.20942,0.001406,0.001406,0.001406
5,174.925,1.37034,0.72154,1.24746,0.96401,0.94118,0.99076,0.66801,1.2153,0.61513,1.17179,0.001208,0.001208,0.001208
6,199.262,1.37433,0.70751,1.24612,0.94399,0.9916,0.99131,0.63452,1.3042,0.61613,1.19619,0.00101,0.00101,0.00101
7,226.136,1.38205,0.69674,1.27276,0.96483,0.94118,0.96854,0.5579,1.36347,0.6342,1.27213,0.000812,0.000812,0.000812
8,252.845,1.35558,0.66616,1.21823,0.94103,0.94118,0.98737,0.64607,1.31986,0.56822,1.18502,0.000614,0.000614,0.000614
9,294.897,1.33437,0.65864,1.22125,0.96966,0.93999,0.98949,0.62105,1.22464,0.56668,1.1551,0.000416,0.000416,0.000416
10,318.741,1.28959,0.64718,1.19688,0.96229,0.94118,0.99004,0.63967,1.18735,0.53582,1.11848,0.000218,0.000218,0.000218
