fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.59693,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.66402,0.01133,0.01148,0.937,0.00051,3.15676,0.8,7.95965,0.38235,1.58764,0.0121,0.75528,0.37364,0.0,0.09474,0.34653,0.0,0.0,0.0,0.45046,0.0,1.0,0.0,0.0
0.68477,0.01133,0.01541,0.94595,0.00051,3.99726,0.7312,10.25174,0.3881,1.60812,0.01364,0.61538,0.3856,0.0,0.10402,0.32417,0.0,0.0,0.0,0.45046,0.0,1.0,0.0,0.0
0.60789,0.01133,0.01554,0.96494,0.00051,4.49818,0.78364,9.58899,0.40315,1.47007,0.01375,0.58856,0.40746,0.0,0.09591,0.33176,0.0,0.0,0.0,0.44798,0.0,0.93389,0.0,0.0
0.64506,0.01133,0.01595,0.87747,0.00052,3.99726,0.61097,13.38135,0.29655,1.58251,0.01598,0.6005,0.3856,0.0,0.10911,0.30505,0.0,0.0,0.0,0.45046,0.0,1.0,0.0,0.0
0.64367,0.01132,0.01492,0.96494,0.00051,4.49818,0.78364,10.83503,0.40315,1.47007,0.01258,0.58856,0.40042,0.0,0.1114,0.28463,0.0,0.0,0.0,0.3812,0.0,0.98972,0.0,0.0
0.55531,0.01011,0.01362,0.937,0.00051,3.08728,0.89558,9.90979,0.40519,1.04095,0.01304,0.9,0.37364,0.0,0.10782,0.32626,0.0,0.0,0.0,0.46838,0.0,1.0,0.0,0.0
0.63997,0.01105,0.01148,0.937,0.00051,3.26853,0.8,7.63318,0.38235,1.54901,0.01221,0.74771,0.39165,0.0,0.09942,0.35897,0.0,0.0,0.0,0.4461,0.0,0.96903,0.0,0.0
0.63327,0.0109,0.01498,0.94853,0.00049,3.99726,0.70528,10.79911,0.39546,1.60812,0.01428,0.61513,0.3856,0.0,0.1123,0.3478,0.0,0.0,0.0,0.42527,0.0,0.9401,0.0,0.0
0.65316,0.0089,0.01777,0.94595,0.00038,3.80935,0.7312,10.57755,0.42493,1.39905,0.01364,0.61538,0.33471,0.0,0.10541,0.34784,0.0,0.0,0.0,0.4334,0.0,0.9354,0.0,0.0
